Date,Open,High,Low,Close,Adj Close,Volume,SMA,EMA,MACD,Signal,MACD_Hist,RSI,CCI,ADX
1998-01-02,43.0,43.0625,42.375,42.8125,12.82184886932373,444000,,42.8125,0.0,0.0,0.0,,,
1998-01-05,43.0625,43.125,42.0625,42.5,12.728257179260254,564300,,42.75568181818181,-0.02492877492876744,-0.004985754985753488,-0.01994301994301395,,,
1998-01-06,42.125,42.1875,41.75,41.875,12.541077613830566,253600,,42.59555785123967,-0.0940333276515588,-0.022795269518914554,-0.07123805813264425,,,
1998-01-07,41.875,41.875,40.875,41.5,12.428775787353516,358100,,42.39636551465064,-0.1770179962787921,-0.05363981487089006,-0.12337818140790205,,,
1998-01-08,41.5625,41.5625,40.75,41.0,12.279026985168457,325100,,42.14248087562325,-0.2799032153311458,-0.09889249496294122,-0.1810107203682046,,,
1998-01-09,40.9375,41.8125,40.9375,41.375,12.391339302062988,306600,,42.002938898237204,-0.32740698279004476,-0.14459539252836195,-0.1828115902616828,,,
1998-01-12,41.125,41.8125,41.0,41.75,12.503643035888672,268300,,41.95695000764862,-0.3309793705964168,-0.18187218814197292,-0.14910718245444388,,,
1998-01-13,41.75,41.75,41.1875,41.4375,12.410054206848145,193300,,41.862504551712505,-0.3549351801815064,-0.21648478654987963,-0.13845039363162676,,,
1998-01-14,41.4375,41.4375,41.125,41.25,12.353900909423828,139500,,41.751140087764774,-0.3846163964640468,-0.25011110853271307,-0.1345052879313337,,,
1998-01-15,41.1875,41.1875,40.25,40.3125,12.073132514953613,155400,41.58125,41.48956916271663,-0.47827414259465684,-0.2957437153451018,-0.18253042724955504,,,
1998-01-16,40.625,40.8125,40.4375,40.5,12.12928295135498,251100,41.35,41.30964749676815,-0.5312450360862186,-0.3428439794933252,-0.18840105659289347,,,
1998-01-20,37.5,37.625,36.5,37.0625,11.09979248046875,1051500,40.80625,40.537438860992125,-0.8409088980971475,-0.44245696321408967,-0.39845193488305786,,,
1998-01-21,36.875,36.875,35.75,36.8125,11.024921417236328,1026300,40.3,39.86017724990265,-1.093883047557597,-0.5727421800827912,-0.5211408674748057,,,
1998-01-22,36.375,36.625,36.125,36.375,10.893898010253906,492700,39.7875,39.22650865901126,-1.3145165487296495,-0.7210970538121628,-0.5934194949174867,11.278195488721806,,96.5220824286213
1998-01-23,36.125,36.375,35.625,36.0,10.781582832336426,323500,39.2875,38.63987072100921,-1.5023118382663867,-0.8773400107030077,-0.624971827563379,10.791366906474806,,96.57400291430812
1998-01-26,36.0625,36.25,35.5625,36.1875,10.837738037109375,273000,38.76875,38.19398513537117,-1.6173672720827383,-1.0253454629789538,-0.5920218091037845,13.138686131386848,,96.6255450659582
