Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.0,35.125,34.3125,34.3125,1.0008116960525513,5800
1962-01-03,0.0,34.75,34.0625,34.25,0.9989882111549377,10200
1962-01-04,0.0,34.3125,33.75,33.75,0.9844046831130981,8800
1962-01-05,0.0,33.625,32.625,33.0,0.9625284075737,11400
1962-01-08,0.0,33.1875,32.0,32.75,0.9552373886108398,17200
1962-01-09,0.0,32.8125,32.375,32.5,0.9479456543922424,8800
1962-01-10,0.0,33.0,32.625,33.0,0.9625284075737,7400
1962-01-11,0.0,33.0,32.625,32.9375,0.9607059955596924,15400
1962-01-12,0.0,33.4375,33.0,33.4375,0.9752897620201111,7800
1962-01-15,0.0,33.25,33.0,33.0,0.9625284075737,11000
1962-01-16,0.0,33.0,32.75,32.875,0.9588831663131714,7400
1962-01-17,0.0,33.3125,32.9375,32.9375,0.9607059955596924,8000
1962-01-18,0.0,33.375,32.875,33.125,0.9661751985549927,14000
1962-01-19,0.0,33.375,33.0625,33.125,0.9661751985549927,6800
1962-01-22,0.0,33.25,32.8125,32.875,0.9588831663131714,7600
1962-01-23,0.0,33.0625,32.8125,32.875,0.9588831663131714,9200
1962-01-24,0.0,32.9375,32.6875,32.9375,0.9607059955596924,6600
1962-01-25,0.0,33.0,32.75,32.875,0.9588831663131714,7000
1962-01-26,0.0,33.125,32.4375,32.4375,0.9461222887039185,9000
1962-01-29,0.0,32.375,32.0625,32.3125,0.9424760341644287,5400
1962-01-30,0.0,32.4375,32.1875,32.4375,0.9461222887039185,7000
1962-01-31,0.0,32.5,32.375,32.5,0.9479456543922424,8400
1962-02-01,0.0,32.6875,32.375,32.625,0.951590359210968,10600
1962-02-02,0.0,32.6875,32.4375,32.5,0.9479456543922424,13200
1962-02-05,0.0,32.75,32.375,32.5625,0.9497678279876709,16200
1962-02-06,0.0,32.875,32.5,32.875,0.9588831663131714,13000
1962-02-07,0.0,33.75,33.3125,33.625,0.9807592630386353,9400
1962-02-08,0.0,34.5,33.875,34.375,1.0026334524154663,9800
1962-02-09,0.0,34.5,34.125,34.5,1.0062800645828247,5800
1962-02-12,0.0,34.4375,34.3125,34.375,1.0026334524154663,1400
1962-02-13,0.0,34.5625,34.125,34.375,1.0026334524154663,12200
1962-02-14,0.0,34.625,34.125,34.5,1.0062800645828247,10000
1962-02-15,0.0,35.3125,34.625,35.25,1.02815580368042,8000
