Date,Open,High,Low,Close,Adj Close,Volume,SMA,EMA,MACD,Signal,MACD_Hist,RSI,CCI,ADX
1992-05-19,4.25,4.34375,4.21875,4.28125,4.28125,7799600,,4.28125,0.0,0.0,0.0,,,
1992-05-20,4.34375,4.375,4.3125,4.375,4.375,2560400,,4.298295454545454,0.007478632478632008,0.0014957264957264017,0.005982905982905606,,,
1992-05-21,4.375,4.375,4.3125,4.375,4.375,1854000,,4.31224173553719,0.013252733338202205,0.003847127864221563,0.009405605473980642,,,
1992-05-22,4.40625,4.59375,4.375,4.53125,4.53125,3206400,,4.352061419984973,0.030089960697259777,0.009095694430829207,0.02099426626643057,,,
1992-05-26,4.5,4.53125,4.375,4.375,4.375,1727600,,4.356232070896796,0.0304742275945582,0.013371401063575008,0.017102826530983193,,,
1992-05-27,4.40625,4.46875,4.40625,4.4375,4.4375,794000,,4.37100805800647,0.03541376174378552,0.01777987319961711,0.017633888544168412,,,
1992-05-28,4.46875,4.5,4.4375,4.46875,4.46875,250800,,4.388779320187111,0.04137306899182658,0.022498512358059004,0.018874556633767574,,,
1992-05-29,4.5,4.59375,4.46875,4.5625,4.5625,1041600,,4.420364898334909,0.05304918641987211,0.02860864717042163,0.02444053924945048,,,
1992-06-01,4.5625,4.65625,4.5625,4.625,4.625,859600,,4.457571280455834,0.06657834752253056,0.036202587240843416,0.03037576028168714,,,
1992-06-02,4.6875,4.6875,4.5625,4.65625,4.65625,1385600,4.46875,4.493694684009318,0.07891226750298852,0.04474452329327244,0.03416774420971608,,,
1992-06-03,4.625,4.625,4.46875,4.5,4.5,1222000,4.490625,4.494841105098533,0.07521192255886966,0.05083800314639189,0.024373919412477768,,,
1992-06-04,4.5,4.5,4.375,4.375,4.375,464000,4.490625,4.473051813262436,0.0614841660065375,0.05296723571842101,0.008516930288116488,,,
1992-06-05,4.34375,4.34375,4.25,4.3125,4.3125,940800,4.484375,4.443860574487447,0.04504237194409555,0.05138226296355592,-0.006339891019460371,,,
