Date,Open,High,Low,Close,Adj Close,Volume
1997-06-18,26.125,26.875,26.125,26.75,8.371687889099121,7918300
1997-06-19,26.875,27.0,26.5,26.625,8.332568168640137,1472400
1997-06-20,26.75,26.75,26.25,26.375,8.254327774047852,1030200
1997-06-23,26.375,26.375,26.125,26.125,8.17608642578125,628900
1997-06-24,26.1875,26.25,26.0625,26.0625,8.15652847290039,541800
1997-06-25,26.25,26.5625,26.25,26.4375,8.273887634277344,570500
1997-06-26,26.75,27.0,26.5625,27.0,8.449926376342773,488700
1997-06-27,27.0,27.125,26.75,26.875,8.410804748535156,586400
1997-06-30,26.8125,27.5,26.25,27.25,8.528165817260742,629800
1997-07-01,27.125,27.125,26.625,26.625,8.332568168640137,269700
1997-07-02,26.375,26.625,26.375,26.375,8.254327774047852,350800
1997-07-03,26.4375,26.75,26.4375,26.625,8.332568168640137,173000
1997-07-07,26.875,26.9375,26.5,26.75,8.371687889099121,449500
1997-07-08,26.6875,26.875,26.625,26.6875,8.352127075195312,239400
1997-07-09,26.625,26.6875,26.5,26.5625,8.313004493713379,226000
1997-07-10,26.5,26.5,26.3125,26.375,8.254327774047852,425100
1997-07-11,26.375,26.5,26.3125,26.4375,8.273887634277344,326300
1997-07-14,26.6875,27.1875,26.625,26.75,8.371687889099121,311000
1997-07-15,26.9375,26.9375,26.5625,26.6875,8.352127075195312,534400
1997-07-16,26.6875,27.0,26.625,26.875,8.410804748535156,443700
1997-07-17,26.9375,27.1875,26.9375,27.0625,8.469487190246582,443800
1997-07-18,27.0,27.0625,26.375,26.625,8.332568168640137,359600
1997-07-21,26.375,26.875,26.25,26.8125,8.391246795654297,422700
1997-07-22,26.8125,26.9375,26.75,26.8125,8.391246795654297,246500
1997-07-23,26.9375,26.9375,26.8125,26.8125,8.391246795654297,196900
1997-07-24,26.9375,27.125,26.75,27.0625,8.469487190246582,481800
1997-07-25,27.1875,27.375,27.125,27.3125,8.547727584838867,225800
1997-07-28,27.1875,27.375,27.0,27.3125,8.547727584838867,127600
1997-07-29,27.25,27.5625,27.1875,27.4375,8.586846351623535,350200
1997-07-30,27.4375,27.625,27.0,27.5625,8.625967979431152,126600
