Date,Open,High,Low,Close,Adj Close,Volume
1985-07-22,0.0,5.625,5.25,5.625,3.611405372619629,59400
1985-07-23,0.0,5.8125,5.5625,5.625,3.611405372619629,20800
1985-07-24,0.0,5.5625,5.375,5.5,3.5311505794525146,32600
1985-07-25,0.0,5.5625,5.5,5.5625,3.5712757110595703,16600
1985-07-26,0.0,5.5625,5.4375,5.5,3.5311505794525146,10400
1985-07-29,0.0,5.5,5.3125,5.4375,3.4910218715667725,25000
1985-07-30,0.0,5.4375,5.375,5.375,3.4508979320526123,10400
1985-07-31,0.0,5.375,5.3125,5.375,3.4508979320526123,12800
1985-08-01,0.0,5.375,5.1875,5.375,3.4508979320526123,31800
1985-08-02,0.0,5.3125,5.1875,5.25,3.3706445693969727,13000
1985-08-05,0.0,5.25,5.1875,5.25,3.3706445693969727,1200
1985-08-06,0.0,5.25,5.125,5.1875,3.330517292022705,28600
1985-08-07,5.1875,5.1875,5.1875,5.1875,3.330517292022705,0
1985-08-08,0.0,5.1875,5.125,5.125,3.2903902530670166,600
1985-08-09,0.0,5.1875,5.1875,5.1875,3.330517292022705,400
1985-08-12,0.0,5.0625,4.9375,5.0625,3.2502622604370117,3800
1985-08-13,0.0,5.125,5.0625,5.125,3.2903902530670166,4400
1985-08-14,0.0,5.0625,5.0625,5.0625,3.2502622604370117,1400
1985-08-15,0.0,5.0,5.0,5.0,3.2101364135742188,1600
1985-08-16,0.0,4.9375,4.9375,4.9375,3.170011043548584,800
1985-08-19,0.0,4.875,4.875,4.875,3.129884958267212,5200
1985-08-20,0.0,4.9375,4.8125,4.9375,3.170011043548584,3000
1985-08-21,0.0,4.875,4.8125,4.8125,3.089756727218628,3400
1985-08-22,0.0,4.875,4.75,4.8125,3.089756727218628,1600
1985-08-23,0.0,4.875,4.8125,4.8125,3.089756727218628,21800
1985-08-26,4.8125,4.8125,4.8125,4.8125,3.089756727218628,0
1985-08-27,0.0,4.75,4.625,4.625,2.9693760871887207,9200
1985-08-28,0.0,4.6875,4.5625,4.6875,3.009504795074463,12400
1985-08-29,0.0,4.875,4.6875,4.875,3.129884958267212,7200
1985-08-30,0.0,5.0,4.9375,5.0,3.2101364135742188,8400
1985-09-03,0.0,5.0625,5.0,5.0,3.2101364135742188,10200
1985-09-04,0.0,4.9375,4.9375,4.9375,3.170011043548584,800
1985-09-05,0.0,4.9375,4.8125,4.9375,3.170011043548584,11400
1985-09-06,0.0,5.0,4.9375,5.0,3.2101364135742188,9800
1985-09-09,0.0,4.9375,4.9375,4.9375,3.170011043548584,200
1985-09-10,0.0,4.9375,4.875,4.9375,3.170011043548584,9800
1985-09-11,0.0,5.0,4.875,4.875,3.129884958267212,5200
1985-09-12,0.0,5.0,4.875,4.875,3.129884958267212,5200
1985-09-13,0.0,5.0,4.875,4.875,3.129884958267212,7400
1985-09-16,0.0,4.8125,4.75,4.8125,3.089756727218628,2600
1985-09-17,0.0,4.875,4.75,4.75,3.0496304035186768,4800
1985-09-18,0.0,4.6875,4.6875,4.6875,3.009504795074463,800
1985-09-19,0.0,4.6875,4.6875,4.6875,3.009504795074463,3200
1985-09-20,0.0,5.0,4.6875,5.0,3.2101364135742188,14200
1985-09-23,0.0,5.0625,5.0,5.0625,3.2502622604370117,3200
1985-09-24,0.0,5.0,5.0,5.0,3.2101364135742188,58000
1985-09-25,0.0,4.875,4.8125,4.875,3.129884958267212,8000
1985-09-26,0.0,4.8125,4.8125,4.8125,3.089756727218628,1400
1985-09-30,0.0,4.75,4.6875,4.6875,3.009504795074463,5600
1985-10-01,0.0,4.75,4.75,4.75,3.0496304035186768,200
1985-10-02,0.0,4.75,4.75,4.75,3.0496304035186768,3000
1985-10-03,0.0,4.8125,4.75,4.75,3.0496304035186768,3800
1985-10-04,4.75,4.75,4.75,4.75,3.0496304035186768,0
1985-10-07,0.0,4.75,4.6875,4.6875,3.009504795074463,4800
1985-10-08,0.0,4.8125,4.75,4.8125,3.089756727218628,2000
1985-10-09,0.0,4.9375,4.8125,4.9375,3.170011043548584,2800
1985-10-10,0.0,4.8125,4.75,4.75,3.0496304035186768,3200
1985-10-11,0.0,4.75,4.6875,4.75,3.0496304035186768,800
1985-10-14,0.0,4.9375,4.8125,4.9375,3.170011043548584,2200
1985-10-15,0.0,4.875,4.875,4.875,3.129884958267212,800
1985-10-16,0.0,4.9375,4.875,4.875,3.129884958267212,2000
1985-10-17,0.0,4.8125,4.8125,4.8125,3.089756727218628,1400
1985-10-18,0.0,4.75,4.75,4.75,3.0496304035186768,1600
1985-10-21,4.75,4.75,4.75,4.75,3.0496304035186768,0
1985-10-22,0.0,4.75,4.75,4.75,3.0496304035186768,400
1985-10-23,0.0,4.875,4.8125,4.8125,3.089756727218628,2000
1985-10-24,0.0,4.9375,4.8125,4.9375,3.170011043548584,2200
1985-10-25,0.0,4.875,4.75,4.8125,3.089756727218628,4600
