Date,Open,High,Low,Close,Adj Close,Volume,SMA,EMA,MACD,Signal,MACD_Hist,RSI,CCI,ADX
1997-02-04,11.0,11.0,10.3125,10.5625,10.5625,26677600,,10.5625,0.0,0.0,0.0,,,
1997-02-05,10.625,10.75,10.125,10.125,10.125,6762800,,10.482954545454545,-0.03490028490028507,-0.006980056980057015,-0.02792022792022806,,,
1997-02-06,10.1875,10.375,10.125,10.3125,10.3125,2238200,,10.451962809917354,-0.04688882395435101,-0.014961810374915816,-0.0319270135794352,,,
1997-02-07,10.25,10.3125,10.25,10.25,10.25,1405800,,10.415242299023289,-0.06073296339609158,-0.02411604097915097,-0.0366169224169406,,,
1997-02-10,10.25,10.625,10.25,10.5,10.5,1666800,,10.430652790109963,-0.05094437790576123,-0.029481708364473024,-0.021462669541288205,,,
1997-02-11,10.5,10.625,10.4375,10.5,10.5,1444200,,10.443261373726333,-0.04269469550842864,-0.03212430579326415,-0.01057038971516449,,,
1997-02-12,10.5,10.5625,10.3125,10.375,10.375,780000,,10.430850214867,-0.04571622986369839,-0.034842690607351,-0.01087353925634739,,,
1997-02-13,10.4375,10.4375,10.0,10.0,10.0,1518600,,10.35251381216391,-0.07747707609801324,-0.04336956770548345,-0.034107508392529795,,,
1997-02-14,10.0625,10.125,10.0,10.0,10.0,511600,,10.28842039177047,-0.10147800034315324,-0.054991254233017414,-0.046486746110135826,,,
1997-02-18,10.0625,10.0625,10.0,10.0625,10.0625,746000,10.26875,10.247343956903112,-0.11413994383614678,-0.06682099215364329,-0.047318951682503496,,,
1997-02-19,10.0,10.0625,10.0,10.0,10.0,1593000,10.2125,10.202372328375272,-0.1277452848197047,-0.07900585068685557,-0.04873943413284913,,,
1997-02-20,10.0,10.0625,10.0,10.0,10.0,614000,10.2,10.165577359579768,-0.1369489532846604,-0.09059447120641653,-0.04635448207824386,,,
1997-02-21,10.0,10.0625,10.0,10.0,10.0,756400,10.16875,10.135472385110718,-0.142599132813789,-0.10099540352789102,-0.04160372928589798,,,
1997-02-24,10.0,10.0625,10.0,10.0,10.0,244400,10.14375,10.110841042363315,-0.14540085030454541,-0.1098764928832219,-0.03552435742132351,32.0,,42.18496651704601
1997-02-25,10.0,10.0625,10.0,10.0,10.0,836800,10.09375,10.090688125569985,-0.14593893836363314,-0.11708898197930416,-0.02884995638432898,32.0,,42.18496651704601
1997-02-26,10.0,10.1875,10.0,10.125,10.125,2607200,10.05625,10.096926648193625,-0.13472588555108267,-0.12061636269365987,-0.014109522857422799,50.0,,37.72611394786516
1997-02-27,10.125,10.125,10.0,10.0,10.0,2115000,10.01875,10.079303621249329,-0.13437690245804745,-0.1233684706465374,-0.011008431811510053,36.8421052631579,,33.86177505457509
1997-02-28,10.0,10.0625,10.0,10.0625,10.0625,188400,10.025,10.076248417385814,-0.1275863669582833,-0.12421204990888658,-0.0033743170493967106,42.10526315789474,,30.51268134705703
1997-03-03,10.0625,10.0625,10.0,10.0,10.0,2307000,10.025,10.062385068770212,-0.1257979261313089,-0.12452922515337106,-0.0012687009779378533,25.0,,27.610133467208044
1997-03-04,10.0,10.0625,9.375,9.5,9.5,1624600,9.96875,9.960133238084717,-0.1628491713394471,-0.13219321439058626,-0.030655956948860835,16.666666666666657,-148.07859368501096,33.78881360634331
1997-03-05,9.5,9.625,9.4375,9.5625,9.5625,795800,9.925,9.887836285705676,-0.18503633870947667,-0.14276183925436436,-0.0422744994551123,21.73913043478261,-155.41025895812245,39.143669726927214
1997-03-06,9.5625,9.6875,9.5625,9.6875,9.6875,1049000,9.89375,9.851411506486462,-0.19033926085170094,-0.1522773235738317,-0.038061937277869246,36.8421052631579,-110.52848061298258,41.65225744292835
1997-03-07,9.625,9.8125,9.5625,9.8125,9.8125,417000,9.875,9.844336687125288,-0.18235335357450388,-0.15829252957396614,-0.024060824000537745,42.857142857142854,-79.63303997286643,40.14014739647708
1997-03-10,9.8125,10.0,9.75,9.8125,9.8125,567000,9.85625,9.838548198557053,-0.17401848771830153,-0.16143772120283323,-0.0125807665154683,39.99999999999999,-42.57676301176082,34.79003191664639
1997-03-11,9.8125,9.8125,9.5625,9.625,9.625,438800,9.81875,9.799721253364861,-0.18046247044955877,-0.16524267105217832,-0.01521979939738044,36.36363636363636,-84.63315767920328,32.97316193981863
1997-03-12,9.6875,9.6875,9.5,9.5,9.5,72200,9.75625,9.745226480025794,-0.1934261324703499,-0.17087936333581266,-0.022546769134537237,33.33333333333333,-108.16306281469167,32.1893673598241
1997-03-13,9.5,9.5,8.75,8.8125,8.8125,269200,9.6375,9.57563984729383,-0.2562218661621909,-0.18794786390108834,-0.06827400226110256,22.85714285714286,-201.30871516069857,36.46970850478415
1997-03-14,8.875,8.875,8.375,8.4375,8.4375,322200,9.475,9.368705329604044,-0.33241542542318037,-0.21684137620550675,-0.11557404921767361,19.512195121951223,-206.3186574753929,41.26207100164765
1997-03-17,8.5,8.5,8.3125,8.4375,8.4375,445800,9.31875,9.199395269676035,-0.3883230239846611,-0.25113770576133765,-0.13718531822332347,19.512195121951223,-173.71148502849505,45.56957776690571
1997-03-18,8.4375,8.5,8.3125,8.3125,8.3125,397200,9.2,9.038141584280392,-0.4376714499347134,-0.2884444545960128,-0.1492269953387006,14.63414634146342,-145.98582382086212,49.302750296796034
1997-03-19,8.3125,8.4375,8.25,8.25,8.25,215800,9.06875,8.89484311441123,-0.47633279277381746,-0.3260221222315738,-0.15031067054224367,15.0,-129.31740241620813,52.72437793697068
1997-03-20,8.25,8.4375,8.25,8.4375,8.4375,182600,8.94375,8.811689820881917,-0.48623745975290156,-0.35806518973583934,-0.12817227001706222,19.04761904761905,-107.28299078512389,55.689788558455376
1997-03-21,8.4375,8.4375,8.3125,8.3125,8.3125,65400,8.79375,8.720928035267022,-0.49842786881340473,-0.38613772555135245,-0.11229014326205228,18.604651162790702,-96.93063414210253,58.25981109707544
1997-03-24,8.25,8.25,7.6875,8.125,8.125,825200,8.625,8.61257748340029,-0.5172559343871495,-0.41236136731851186,-0.10489456706863759,21.05263157894737,-112.30745899271889,61.98268269395586
1997-03-25,8.0625,8.0625,7.6875,7.75,7.75,499600,8.4375,8.455745213691145,-0.5560271432054726,-0.4410945224959041,-0.11493262070956856,16.279069767441854,-112.7955249187486,65.20917141125223
1997-03-26,7.6875,7.9375,7.6875,7.8125,7.8125,248200,8.26875,8.338791538474572,-0.5750811997644956,-0.4678918579496224,-0.10718934181487316,14.285714285714292,-102.01022389896775,68.00546163290907
1997-03-27,7.8125,7.8125,7.625,7.625,7.625,692000,8.15,8.209011258751922,-0.5984132247065848,-0.49399613130101494,-0.10441709340556982,9.302325581395351,-100.3622749034502,70.54755726546418
1997-03-31,7.625,7.625,7.3125,7.5,7.5,745800,8.05625,8.080100120797026,-0.619845287271394,-0.5191659624950907,-0.10067932477630326,8.8888888888889,-104.80853594702234,73.2176470406495
1997-04-01,7.5,7.5,7.1875,7.3125,7.3125,1067800,7.94375,7.940536462470293,-0.6445302902806151,-0.5442388280521957,-0.10029146222841945,8.8888888888889,-104.63819829475675,75.67139827253256
1997-04-02,7.3125,7.3125,7.1875,7.3125,7.3125,344000,7.84375,7.826348014748421,-0.6565253178202548,-0.5666961260058075,-0.08982919181444726,9.302325581395351,-97.78256285156962,77.79798267349787
1997-04-03,7.3125,7.4375,7.1875,7.4375,7.4375,1059000,7.7625,7.755648375703253,-0.6484698514445295,-0.583050871093552,-0.06541898035097748,17.647058823529406,-82.462212796854,76.34820808849312
1997-04-04,7.375,7.5,7.25,7.5,7.5,338000,7.66875,7.709166852848115,-0.6297828638117569,-0.592397269637193,-0.037385594174563885,24.13793103448276,-70.86824529059244,73.55139987127885
1997-04-07,7.5625,8.5,7.5625,8.0,8.0,750800,7.6375,7.762045606875731,-0.5680790089563175,-0.5875336175010178,0.01945460854470038,40.54054054054053,-18.28612932967768,67.98256089645486
1997-04-08,7.6875,7.8125,7.5625,7.625,7.625,201000,7.5875,7.7371282238074155,-0.5431762279846035,-0.578662139597735,0.03548591161313153,36.58536585365854,-44.08665735917926,63.15623378494073
1997-04-09,7.6875,7.6875,7.59375,7.625,7.625,219400,7.575,7.7167412740242485,-0.5174754596679092,-0.56642480361177,0.048949343943860746,37.5,-43.23411001593244,58.97341695496182
1997-04-10,7.625,7.6875,7.5625,7.625,7.625,74600,7.55625,7.700061042383476,-0.4914423738395257,-0.5514283176573211,0.05998594381779543,32.432432432432435,-41.66261073113217,54.88753429115194
1997-04-11,7.625,7.625,7.5,7.5,7.5,301000,7.54375,7.663686307404662,-0.4754171086025929,-0.5362260758463755,0.0608089672437826,32.432432432432435,-49.824273213319834,50.370077460272725
1997-04-14,7.5,7.5,7.3125,7.5,7.5,577000,7.54375,7.633925160603814,-0.4574438425781864,-0.5204696291927376,0.06302578661455127,35.294117647058826,-61.14198497863969,43.793742114556714
1997-04-15,7.5,7.5625,7.3125,7.375,7.375,290200,7.55,7.586847858675847,-0.4481206986265498,-0.5059998430795001,0.05787914445295028,39.99999999999999,-59.15403755175608,38.88131526229513
1997-04-16,7.375,7.4375,7.375,7.4375,7.4375,272000,7.5625,7.559693702552966,-0.43072369754049156,-0.4909446139716984,0.06022091643120686,39.99999999999999,-54.06303720847826,34.62387865700176
1997-04-17,7.4375,7.5,7.375,7.5,7.5,432200,7.56875,7.54884030208879,-0.4071992813330034,-0.4741955474439594,0.066996266110956,46.42857142857143,-41.242073381822664,31.84695538421357
1997-04-18,7.5,7.5,7.25,7.25,7.25,337400,7.54375,7.494505701709009,-0.4040710432065344,-0.46017064659647444,0.05609960338994002,43.33333333333333,-64.36942000878523,27.963451356334552
1997-04-21,7.1875,7.25,7.0,7.0625,7.0625,482600,7.45,7.415959210489189,-0.4119726111335842,-0.4505310395038964,0.0385584283703122,43.33333333333333,-120.26530358083872,27.85225704592594
1997-04-22,7.0,7.0625,6.9375,7.0,7.0,246000,7.3875,7.340330263127517,-0.4184542086703491,-0.44411567333718693,0.02566146466683783,41.935483870967744,-133.93409934457569,28.41166574544203
1997-04-23,7.0625,7.25,7.0625,7.0625,7.0625,89000,7.33125,7.289815669831604,-0.41377791946216913,-0.4380481225621834,0.024270203100014265,39.99999999999999,-90.54551962979875,25.56207848610755
1997-04-24,7.0,7.0625,6.9375,6.9375,6.9375,71800,7.2625,7.2257582753167675,-0.415370252196932,-0.4335125484891332,0.018142296292201154,35.48387096774192,-115.61498466381903,24.668512939700378
1997-04-25,7.0,7.0,6.875,6.875,6.875,67600,7.2,7.161984043440992,-0.41686999719201,-0.4301840382297086,0.013314041037698565,12.5,-115.23007143683695,24.63350034596599
1997-04-28,6.875,6.875,6.75,6.75,6.75,398200,7.125,7.087077853724447,-0.42326586580989733,-0.42880040374574635,0.005534537935849015,15.0,-124.42731161000388,25.97629386339556
1997-04-29,6.8125,7.0,6.75,7.0,7.0,154800,7.0875,7.071245516683638,-0.40351031141297167,-0.42374238527919145,0.02023207386621978,29.16666666666667,-87.0423586014187,24.700271631189903
1997-04-30,7.0,7.75,7.0,7.5,7.5,191200,7.09375,7.149200877286614,-0.3435478649605317,-0.4077034812154595,0.06415561625492783,46.875,18.903696697350462,26.74160560124367
1997-05-01,7.5,7.5625,7.4375,7.5625,7.5625,95400,7.1,7.2243461723254105,-0.28766790987716195,-0.3836963669478,0.09602845707063806,51.61290322580645,39.1142352952452,28.5107617086236
1997-05-02,7.5625,7.5625,7.375,7.375,7.375,134800,7.1125,7.251737777357153,-0.2555663164656643,-0.3580703568513729,0.1025040403857086,47.05882352941176,21.142654246924323,29.091460697105035
1997-05-05,7.4375,7.5,7.3125,7.5,7.5,140400,7.15625,7.296876363292215,-0.2175315487903804,-0.32996259523917437,0.11243104644879398,52.94117647058823,31.638904893516983,28.609694960840862
1997-05-06,7.5,7.6875,7.375,7.5,7.5,161400,7.20625,7.333807933602721,-0.18525323737766097,-0.3010207236668717,0.11576748628921074,51.515151515151516,55.62979108610281,29.79593828284347
1997-05-07,7.5625,8.0,7.5625,7.9375,7.9375,38800,7.29375,7.4435701274931345,-0.12295252914971755,-0.2654070847634409,0.14245455561372333,58.97435897435897,124.60294547601873,32.79774815436585
1997-05-08,7.75,7.8125,7.625,7.625,7.625,135600,7.3625,7.476557377039837,-0.09766903946514915,-0.23185947570378254,0.1341904362386334,57.5,87.77557541025762,35.399316709685245
1997-05-09,7.625,7.875,7.625,7.8125,7.8125,88600,7.45625,7.537637853941684,-0.061789735131482004,-0.19784552758932245,0.13605579245784044,65.0,99.77496991028536,38.03127591925141
1997-05-12,7.8125,8.5625,7.8125,8.3125,8.3125,95400,7.6125,7.678521880497741,0.006911027353658561,-0.15689421660072628,0.16380524395438484,72.34042553191489,160.31716581973456,42.881720382350096
1997-05-13,8.3125,8.3125,8.125,8.1875,8.1875,83200,7.73125,7.771063356770879,0.05068614294909679,-0.11537814469076166,0.16606428763985845,68.75,131.99416219539197,47.085438917035624
1997-05-14,8.1875,8.1875,7.8125,7.8125,7.8125,163200,7.7625,7.778597291903447,0.05449073615977795,-0.08140436852065375,0.1358951046804317,63.46153846153846,79.83105035192224,45.930738001475255
1997-05-15,7.8125,7.8125,7.6875,7.6875,7.6875,18200,7.775,7.7620341479210015,0.046879055784558865,-0.05574768365961123,0.1026267394441701,62.264150943396224,44.29658764874705,43.32526533064784
1997-05-16,7.6875,7.6875,7.5625,7.5625,7.5625,77600,7.79375,7.725755211935365,0.0304097443135527,-0.03851619806497845,0.06892594237853114,62.264150943396224,22.685876164158238,39.530708305391876
1997-05-19,7.5625,7.625,7.3125,7.375,7.375,69600,7.78125,7.6619815370380255,0.00220262285548678,-0.030372433880885404,0.032575056736372184,55.769230769230774,-5.94579609586135,34.94008828615424
1997-05-20,7.3125,7.625,7.3125,7.375,7.375,201000,7.76875,7.609803075758384,-0.01992207484362929,-0.028282362073434184,0.008360287229804895,47.72727272727273,-9.75994940264084,30.961550936148296
1997-05-21,7.375,7.4375,7.3125,7.4375,7.4375,108200,7.71875,7.5784752438023135,-0.03204345252990404,-0.029034580164728156,-0.003008872365175882,47.72727272727273,-19.2450089729872,27.51348523280981
1997-05-22,7.4375,7.5,7.375,7.4375,7.4375,104000,7.7,7.552843381292802,-0.04117509085926674,-0.03146268230363587,-0.009712408555630866,51.21951219512195,-16.92903136939191,24.04185506578689
1997-05-23,7.5,7.5,7.4375,7.5,7.5,13800,7.66875,7.543235493785019,-0.04287452156336169,-0.03374505015558104,-0.00912947140778065,50.0,-15.7239557999269,21.033108921033694
1997-05-27,7.5,7.5,7.4375,7.4375,7.4375,20400,7.58125,7.524010858551379,-0.04870314081513616,-0.036736668287492065,-0.011966472527644094,48.78048780487806,-30.335202040787514,18.425528928914257
1997-05-28,7.4375,7.4375,7.25,7.25,7.25,67000,7.4875,7.474190702451128,-0.06767196625951666,-0.04292372788189699,-0.02474823837761967,35.135135135135144,-76.38402992609022,18.80065947836293
1997-05-29,7.3125,7.375,7.25,7.3125,7.3125,79200,7.4375,7.444792392914559,-0.07677663615172925,-0.04969430953586344,-0.027082326615865807,42.42424242424243,-73.64387669079264,19.125772621218445
1997-05-30,7.1875,7.25,7.1875,7.25,7.25,56600,7.39375,7.409375594202821,-0.0880207320940416,-0.057359594047499074,-0.030661138046542524,35.48387096774192,-86.6141550486969,20.35649208011208
1997-06-02,7.25,7.375,7.25,7.375,7.375,54800,7.375,7.403125486165944,-0.08585561373438289,-0.06305879798487585,-0.022796815749507038,20.0,-59.85325932747895,18.47006643720691
1997-06-03,7.4375,7.4375,7.25,7.3125,7.3125,140600,7.36875,7.386648125044863,-0.08816663936445757,-0.0680803662607922,-0.02008627310366537,20.83333333333333,-57.85715749572757,16.461700361414973
1997-06-04,7.3125,7.3125,7.1875,7.1875,7.1875,31400,7.35,7.350439375036705,-0.0989440339251777,-0.0742530997936693,-0.0246909341315084,25.000000000000014,-75.74531291849728,15.116580483445937
1997-06-05,7.25,7.3125,7.1875,7.25,7.25,92800,7.33125,7.332177670484577,-0.10127453924853214,-0.07965738768464187,-0.02161715156389027,31.578947368421055,-64.32985013861486,13.950809922539438
1997-06-06,7.25,7.5,7.0625,7.5,7.5,262200,7.3375,7.362690821305563,-0.08200328798621914,-0.08012656774495733,-0.0018767202412618145,47.61904761904762,-37.50037665499086,15.129817883294287
1997-06-09,7.3125,7.6875,7.3125,7.625,7.625,137400,7.35,7.410383399250006,-0.0559987089290086,-0.0753009959817676,0.019302287052758993,60.0,6.562807807491792,18.62571679032817
1997-06-10,7.6875,7.6875,7.375,7.4375,7.4375,53800,7.35,7.415313690295459,-0.049943854010351174,-0.07022956758748432,0.020285713577133144,52.17391304347826,6.555681457532939,21.65549584309087
1997-06-11,7.375,7.375,7.1875,7.25,7.25,58400,7.35,7.385256655696285,-0.059588126036926425,-0.06810127927737275,0.008513153240446325,43.99999999999999,-59.913041139714394,19.712698128958902
1997-06-12,7.25,7.3125,7.25,7.3125,7.3125,23600,7.35,7.372028172842414,-0.06147935766986201,-0.06677689495587061,0.005297537286008597,46.15384615384615,-53.26848397254768,18.02894011004453
1997-06-13,7.3125,7.3125,7.125,7.25,7.25,86200,7.35,7.349841232325612,-0.06724622738034025,-0.06687076144076454,-0.0003754659395757143,42.30769230769231,-85.61663940824538,17.208551640287975
1997-06-16,7.3125,7.375,6.9375,6.9375,6.9375,599800,7.30625,7.274870099175501,-0.09592686630016889,-0.07268198241264541,-0.02324488388752348,36.666666666666664,-152.45562779572782,19.253695253191
1997-06-17,7.0,7.0625,6.9375,7.0,7.0,270200,7.275,7.224893717507227,-0.1123185137011724,-0.08060928867035082,-0.03170922503082159,42.857142857142854,-158.67879569877758,21.02615305104029
1997-06-18,7.0,7.3125,6.9375,7.1875,7.1875,1090800,7.275,7.218094859778639,-0.10892372447174647,-0.08627217583062996,-0.022651548641116515,46.666666666666664,-78.49509420989872,19.078570932054888
1997-06-19,7.25,7.4375,7.125,7.1875,7.1875,315000,7.26875,7.2125321580007045,-0.10502269331511105,-0.09002227932752618,-0.015000413987584865,48.275862068965516,-25.17114951765818,19.20002234645585
