Date,Open,High,Low,Close,Adj Close,Volume
1975-06-12,0.0,15.5,15.25,15.25,7.252866268157959,680800
1975-06-13,0.0,15.6875,15.4375,15.4375,7.342046737670898,434400
1975-06-16,0.0,15.5,15.25,15.25,7.252866268157959,195800
1975-06-17,0.0,15.1875,14.9375,14.9375,7.104249477386475,278800
1975-06-18,0.0,15.625,15.375,15.375,7.312316417694092,178200
1975-06-19,0.0,15.875,15.625,15.625,7.431219100952148,190400
1975-06-20,0.0,15.9375,15.6875,15.6875,7.460947513580322,304800
1975-06-23,0.0,15.8125,15.5625,15.5625,7.401494979858398,119400
1975-06-24,0.0,15.5,15.25,15.25,7.252866268157959,240000
1975-06-25,0.0,15.375,15.125,15.125,7.193418502807617,158400
1975-06-26,0.0,15.25,15.0,15.0,7.133971691131592,121200
1975-06-27,0.0,15.1875,14.9375,14.9375,7.104249477386475,88000
1975-06-30,0.0,15.5,15.25,15.25,7.252866268157959,123200
1975-07-01,0.0,15.3125,15.0625,15.0625,7.163694381713867,87200
1975-07-02,0.0,15.1875,14.9375,14.9375,7.104249477386475,139400
1975-07-03,0.0,15.8125,15.5625,15.5625,7.401494979858398,158600
1975-07-07,0.0,15.4375,15.1875,15.1875,7.223146438598633,112400
1975-07-08,0.0,15.375,15.125,15.125,7.193418502807617,144000
1975-07-09,0.0,15.75,15.5,15.5,7.371767520904541,223000
1975-07-10,0.0,15.6875,15.4375,15.4375,7.342046737670898,227600
1975-07-11,0.0,16.25,16.0,16.0,7.60957145690918,293400
1975-07-14,0.0,17.0625,16.8125,16.8125,7.995990753173828,371800
1975-07-15,0.0,17.0,16.75,16.75,7.9662652015686035,281600
1975-07-16,0.0,16.9375,16.6875,16.6875,7.936542510986328,364600
1975-07-17,0.0,17.1875,16.9375,16.9375,8.055441856384277,222000
1975-07-18,0.0,18.0,17.75,17.75,8.441873550415039,351000
1975-07-21,0.0,17.8125,17.5625,17.5625,8.352693557739258,204800
1975-07-22,0.0,17.1875,16.9375,16.9375,8.055441856384277,234000
1975-07-23,0.0,16.875,16.625,16.625,7.906815052032471,176800
1975-07-24,0.0,16.625,16.375,16.375,7.7879180908203125,143400
1975-07-25,0.0,16.1875,15.9375,15.9375,7.579843997955322,102600
1975-07-28,0.0,16.125,15.875,15.875,7.550122261047363,96000
1975-07-29,0.0,15.625,15.375,15.375,7.312316417694092,160200
1975-07-30,0.0,15.8125,15.5625,15.5625,7.401494979858398,118600
1975-07-31,0.0,15.5,15.25,15.25,7.252866268157959,88400
1975-08-01,0.0,15.1875,14.9375,14.9375,7.104249477386475,101600
1975-08-04,14.9375,14.9375,14.9375,14.9375,7.104249477386475,0
1975-08-05,0.0,15.6875,15.4375,15.4375,7.342046737670898,120200
1975-08-06,0.0,16.3125,16.0625,16.0625,7.639294624328613,109800
1975-08-07,0.0,15.625,15.375,15.375,7.312316417694092,127200
1975-08-08,0.0,15.0625,14.8125,14.8125,7.044796943664551,144600
1975-08-11,0.0,15.375,15.125,15.125,7.193418502807617,111400
1975-08-12,0.0,15.3125,15.0625,15.0625,7.163694381713867,81600
1975-08-13,0.0,14.5,14.25,14.25,6.777272701263428,112400
1975-08-14,0.0,14.5,14.25,14.25,6.777272701263428,104200
1975-08-15,0.0,14.25,14.0,14.0,6.658373832702637,73600
1975-08-18,0.0,13.625,13.375,13.375,6.361121654510498,78400
1975-08-19,0.0,13.625,13.375,13.375,6.361121654510498,69800
1975-08-20,0.0,14.0625,13.8125,13.8125,6.5691962242126465,83600
1975-08-21,0.0,14.625,14.375,14.375,6.836722373962402,60400
1975-08-22,0.0,15.0,14.75,14.75,7.015072345733643,32200
1975-08-25,0.0,14.9375,14.6875,14.6875,6.985344886779785,48000
1975-08-26,0.0,14.4375,14.1875,14.1875,6.747550010681152,70200
1975-08-27,0.0,14.6875,14.4375,14.4375,6.866442680358887,42400
1975-08-28,0.0,15.4375,15.1875,15.1875,7.223146438598633,83600
1975-08-29,0.0,15.625,15.375,15.375,7.312316417694092,105200
1975-09-02,0.0,14.9375,14.6875,14.6875,6.985344886779785,70800
1975-09-03,0.0,15.1875,14.9375,14.9375,7.104249477386475,69400
1975-09-04,0.0,15.3125,15.0625,15.0625,7.163694381713867,59600
1975-09-05,0.0,14.875,14.625,14.625,6.955626487731934,63600
1975-09-08,0.0,14.4375,14.1875,14.1875,6.747550010681152,50400
1975-09-09,0.0,14.0,13.75,13.75,6.539471626281738,134600
1975-09-10,0.0,13.625,13.375,13.375,6.361121654510498,146600
1975-09-11,0.0,13.5625,13.3125,13.3125,6.331398963928223,144800
1975-09-12,0.0,13.75,13.5,13.5,6.4205732345581055,61000
1975-09-15,0.0,13.875,13.625,13.625,6.480021953582764,53000
1975-09-16,0.0,14.0,13.75,13.75,6.539471626281738,57000
1975-09-17,0.0,14.4375,14.1875,14.1875,6.747550010681152,76000
1975-09-18,0.0,15.4375,15.1875,15.1875,7.223146438598633,113000
1975-09-19,0.0,16.0,15.75,15.75,7.490671634674072,144400
1975-09-22,0.0,15.375,15.125,15.125,7.193418502807617,98400
1975-09-23,0.0,15.0,14.75,14.75,7.015072345733643,114800
1975-09-24,0.0,15.0,14.75,14.75,7.015072345733643,39000
1975-09-25,0.0,14.5625,14.3125,14.3125,6.806995868682861,60000
1975-09-26,0.0,14.4375,14.1875,14.1875,6.747550010681152,58200
1975-09-29,0.0,14.3125,14.0625,14.0625,6.688099384307861,50400
1975-09-30,0.0,14.0625,13.8125,13.8125,6.5691962242126465,56000
1975-10-01,0.0,14.0625,13.8125,13.8125,6.5691962242126465,73800
1975-10-02,0.0,14.375,14.125,14.125,6.717822551727295,140000
1975-10-03,0.0,14.75,14.5,14.5,6.8961687088012695,71000
1975-10-06,0.0,14.75,14.5,14.5,6.8961687088012695,30000
1975-10-07,0.0,14.5,14.25,14.25,6.777272701263428,58800
1975-10-08,0.0,14.8125,14.5625,14.5625,6.925897598266602,45600
1975-10-09,0.0,15.0625,14.8125,14.8125,7.044796943664551,71200
1975-10-10,0.0,15.1875,14.9375,14.9375,7.104249477386475,70200
1975-10-13,0.0,15.25,15.0,15.0,7.133971691131592,53800
1975-10-14,0.0,15.3125,15.0625,15.0625,7.163694381713867,76800
1975-10-15,0.0,15.5,15.25,15.25,7.252866268157959,67600
1975-10-16,0.0,15.3125,15.0625,15.0625,7.163694381713867,44600
1975-10-17,0.0,14.25,14.0,14.0,6.658373832702637,118800
1975-10-20,0.0,14.4375,14.1875,14.1875,6.747550010681152,47600
1975-10-21,0.0,13.875,13.625,13.625,6.480021953582764,100800
1975-10-22,0.0,14.0,13.75,13.75,6.539471626281738,106400
1975-10-23,0.0,14.625,14.375,14.375,6.836722373962402,148200
1975-10-24,0.0,14.25,14.0,14.0,6.658373832702637,74200
1975-10-27,0.0,14.25,14.0,14.0,6.658373832702637,27800
1975-10-28,0.0,14.5,14.25,14.25,6.777272701263428,59000
1975-10-29,0.0,13.875,13.625,13.625,6.480021953582764,57000
1975-10-30,0.0,13.5625,13.3125,13.3125,6.331398963928223,66200
1975-10-31,0.0,13.625,13.375,13.375,6.361121654510498,40400
1975-11-03,0.0,13.25,13.0,13.0,6.182772636413574,79600
1975-11-04,0.0,12.875,12.625,12.625,6.004424571990967,191800
1975-11-05,0.0,12.6875,12.4375,12.4375,5.915250778198242,106600
1975-11-06,0.0,12.625,12.375,12.375,5.885525226593018,104000
1975-11-07,0.0,11.875,11.625,11.625,5.528825759887695,308600
1975-11-10,0.0,12.375,12.125,12.125,5.76662540435791,79400
1975-11-11,0.0,12.25,12.0,12.0,5.707176208496094,83400
1975-11-12,0.0,13.3125,13.0625,13.0625,6.212497234344482,177800
1975-11-13,0.0,12.875,12.625,12.625,6.004424571990967,164000
1975-11-14,0.0,12.9375,12.6875,12.6875,6.034149646759033,72400
1975-11-17,0.0,12.9375,12.6875,12.6875,6.034149646759033,53400
1975-11-18,0.0,12.5625,12.3125,12.3125,5.855801582336426,110600
1975-11-19,0.0,12.3125,12.0625,12.0625,5.7368998527526855,81600
1975-11-20,0.0,12.3125,12.0625,12.0625,5.7368998527526855,29200
1975-11-21,0.0,12.5625,12.3125,12.3125,5.855801582336426,52000
1975-11-24,0.0,12.6875,12.4375,12.4375,5.915250778198242,58200
1975-11-25,0.0,12.5,12.25,12.25,5.826075553894043,47600
1975-11-26,0.0,12.875,12.625,12.625,6.004424571990967,49600
1975-11-28,0.0,12.6875,12.4375,12.4375,5.915250778198242,35000
1975-12-01,0.0,12.625,12.375,12.375,5.885525226593018,55400
1975-12-02,0.0,12.5,12.25,12.25,5.826075553894043,60800
1975-12-03,0.0,12.3125,12.0625,12.0625,5.7368998527526855,85000
1975-12-04,0.0,11.9375,11.6875,11.6875,5.5585527420043945,49400
1975-12-05,0.0,11.5,11.25,11.25,5.350480079650879,61000
1975-12-08,0.0,11.4375,11.1875,11.1875,5.32075309753418,62000
1975-12-09,0.0,11.3125,11.0625,11.0625,5.261301040649414,171200
1975-12-10,0.0,12.0,11.75,11.75,5.588276386260986,102400
1975-12-11,0.0,12.0625,11.8125,11.8125,5.618005275726318,111400
1975-12-12,0.0,12.0625,11.8125,11.8125,5.618005275726318,31400
1975-12-15,0.0,11.9375,11.6875,11.6875,5.5585527420043945,50800
1975-12-16,0.0,12.1875,11.9375,11.9375,5.677451133728027,51600
1975-12-17,0.0,12.3125,12.0625,12.0625,5.7368998527526855,54000
1975-12-18,0.0,12.5,12.25,12.25,5.826075553894043,60400
1975-12-19,0.0,12.4375,12.1875,12.1875,5.796353816986084,37600
1975-12-22,0.0,12.625,12.375,12.375,5.885525226593018,78800
1975-12-23,0.0,12.6875,12.4375,12.4375,5.915250778198242,30200
1975-12-24,0.0,12.6875,12.4375,12.4375,5.915250778198242,11800
1975-12-26,0.0,13.0,12.75,12.75,6.063873767852783,45600
1975-12-29,0.0,12.9375,12.6875,12.6875,6.034149646759033,59400
1975-12-30,0.0,12.875,12.625,12.625,6.004424571990967,51800
1975-12-31,0.0,13.0,12.75,12.75,6.063873767852783,30000
1976-01-02,0.0,12.9375,12.6875,12.6875,6.034149646759033,12400
1976-01-05,0.0,12.625,12.375,12.375,5.885525226593018,40600
1976-01-06,0.0,12.625,12.375,12.375,5.885525226593018,71600
1976-01-07,0.0,13.125,12.875,12.875,6.123324394226074,103000
1976-01-08,0.0,13.625,13.375,13.375,6.361121654510498,92800
1976-01-09,0.0,13.4375,13.1875,13.1875,6.2719502449035645,119000
1976-01-12,0.0,13.0625,12.8125,12.8125,6.093601226806641,35600
1976-01-13,0.0,12.875,12.625,12.625,6.004424571990967,44000
1976-01-14,0.0,12.875,12.625,12.625,6.004424571990967,40200
1976-01-15,0.0,12.9375,12.6875,12.6875,6.034149646759033,113800
1976-01-16,0.0,13.125,12.875,12.875,6.123324394226074,45000
1976-01-19,0.0,13.125,12.875,12.875,6.123324394226074,27000
1976-01-20,0.0,13.0625,12.8125,12.8125,6.093601226806641,67400
1976-01-21,0.0,13.25,13.0,13.0,6.182772636413574,55400
1976-01-22,0.0,13.0625,12.8125,12.8125,6.093601226806641,37800
1976-01-23,0.0,13.125,12.875,12.875,6.123324394226074,48800
1976-01-26,0.0,13.125,12.875,12.875,6.123324394226074,61000
1976-01-27,0.0,12.9375,12.6875,12.6875,6.034149646759033,32200
1976-01-28,0.0,12.6875,12.4375,12.4375,5.915250778198242,54000
1976-01-29,0.0,13.0625,12.8125,12.8125,6.093601226806641,63200
1976-01-30,0.0,13.5,13.25,13.25,6.301672458648682,85600
1976-02-02,0.0,13.3125,13.0625,13.0625,6.212497234344482,62800
1976-02-03,0.0,13.25,13.0,13.0,6.182772636413574,47800
1976-02-04,0.0,13.375,13.125,13.125,6.242222309112549,38600
1976-02-05,0.0,13.3125,13.0625,13.0625,6.212497234344482,45200
1976-02-06,0.0,13.3125,13.0625,13.0625,6.212497234344482,56000
1976-02-09,0.0,14.125,13.875,13.875,6.5989227294921875,141800
1976-02-10,0.0,14.5,14.25,14.25,6.777272701263428,178600
1976-02-11,0.0,14.4375,14.1875,14.1875,6.747550010681152,108400
1976-02-12,0.0,14.25,14.0,14.0,6.658373832702637,107200
1976-02-13,0.0,14.25,14.0,14.0,6.658373832702637,42400
1976-02-17,0.0,14.5625,14.3125,14.3125,6.806995868682861,78200
1976-02-18,0.0,15.0,14.75,14.75,7.015072345733643,122000
1976-02-19,0.0,15.0,14.75,14.75,7.015072345733643,43200
1976-02-20,0.0,14.75,14.5,14.5,6.8961687088012695,70000
1976-02-23,0.0,14.5,14.25,14.25,6.777272701263428,50400
1976-02-24,0.0,13.875,13.625,13.625,6.480021953582764,90400
1976-02-25,0.0,13.9375,13.6875,13.6875,6.5097455978393555,69000
1976-02-26,0.0,13.5625,13.3125,13.3125,6.331398963928223,55800
1976-02-27,0.0,12.8125,12.5625,12.5625,5.974700927734375,67800
1976-03-01,0.0,13.75,13.5,13.5,6.4205732345581055,102200
1976-03-02,0.0,13.0625,12.8125,12.8125,6.093601226806641,123000
1976-03-03,0.0,13.125,12.875,12.875,6.123324394226074,83400
1976-03-04,0.0,13.25,13.0,13.0,6.182772636413574,48800
1976-03-05,0.0,13.125,12.875,12.875,6.123324394226074,69800
1976-03-08,0.0,13.5625,13.3125,13.3125,6.331398963928223,61600
