Date,Open,High,Low,Close,Adj Close,Volume,SMA,EMA,MACD,Signal,MACD_Hist,RSI,CCI,ADX
1998-01-30,5.1875,6.5625,5.125,6.375,5.4133381843566895,18256800,,6.375,0.0,0.0,0.0,,,
1998-02-02,6.84375,9.3125,6.625,7.75,6.580921173095703,10127200,,6.625,0.10968660968660959,0.02193732193732192,0.08774928774928767,,,
1998-02-03,8.25,8.78125,8.0,8.25,7.005496501922607,6244800,,6.920454545454545,0.23425946217969074,0.06440174998579569,0.16985771219389506,,,
1998-02-04,8.21875,8.28125,7.625,7.90625,6.713601112365723,2106800,,7.099690082644627,0.3017679994642446,0.11187499988148547,0.18989299958275913,,,
1998-02-05,8.0625,8.25,7.625,7.640625,6.4880452156066895,890800,,7.19804188580015,0.33003089335425884,0.15550617857604015,0.17452471477821868,,,
1998-02-06,7.671875,7.71875,6.875,6.96875,5.9175214767456055,2846800,,7.156352452018304,0.29481628436946394,0.18336819973472493,0.11144808463473901,,,
1998-02-09,6.875,7.0,6.40625,6.75,5.731770038604736,1944800,,7.082470188014976,0.24641661881876153,0.19597788355153226,0.05043873526722928,,,
1998-02-10,6.6875,7.375,6.53125,7.0,5.944057464599609,1001200,,7.067475608375888,0.2256315062782548,0.20190860809687677,0.023722898181378016,,,
1998-02-11,7.03125,7.4375,6.90625,7.4375,6.315561294555664,842400,,7.134752770489363,0.24167585962938798,0.20986205840337904,0.031813801226008936,,,
1998-02-12,7.40625,7.90625,7.28125,7.78125,6.607456684112549,1111600,7.3859375,7.252297721309478,0.2789137335127023,0.2236723934252437,0.055241340087458624,,,
1998-02-13,7.84375,8.0,7.6875,7.75,6.580921173095703,544800,7.5234375,7.342789044707755,0.3024173243499124,0.23942137961017745,0.06299594473973497,,,
1998-02-17,7.84375,8.0,7.6875,7.8125,6.633992671966553,441600,7.5296875,7.428191036579072,0.32237122230670323,0.2560113481494826,0.06635987415722061,,,
1998-02-18,7.84375,7.875,7.71875,7.8125,6.633992671966553,246000,7.4859375,7.498065393564694,0.33433087201864353,0.2716752529233148,0.06265561909532874,,,
1998-02-19,7.875,7.96875,7.6875,7.6875,6.527849197387695,318400,7.4640625,7.532508049280204,0.32991941954772663,0.28332408624819716,0.04659533329952947,64.1891891891892,,37.55359654563199
1998-02-20,7.6875,8.0,7.6875,7.96875,6.766672611236572,349200,7.496875,7.611824767592894,0.34513928533777527,0.2956871260661128,0.049452159271662466,66.24203821656052,,37.73676246793453
1998-02-23,7.6875,7.71875,7.21875,7.25,6.156345367431641,1409600,7.525,7.546038446212367,0.29579428804692753,0.2957085584622758,8.572958465175029e-05,44.11764705882352,,32.78752024013882
1998-02-24,7.40625,7.421875,6.6875,6.84375,5.811378002166748,2599200,7.534375,7.418349637810118,0.22135539514900504,0.28083792579962163,-0.059482530650616594,33.0827067669173,,31.889097364031045
1998-02-25,7.0,7.25,6.8125,7.25,6.156345367431641,1143200,7.559375,7.387740612753732,0.19291916401645626,0.26325417344298857,-0.07033500942653231,42.22222222222222,,31.11046420473764
1998-02-26,7.28125,7.28125,7.0625,7.21875,6.129809379577637,491200,7.5375,7.357015046798508,0.16594867906626565,0.24379307456764399,-0.07784439550137834,44.70588235294118,,30.09390408848191
1998-02-27,7.125,7.21875,7.125,7.15625,6.076737403869629,573600,7.475,7.3205123110169605,0.13794104921564632,0.22262266949724446,-0.08468162028159815,52.77777777777778,-33.66020422691998,29.212885321060277
1998-03-02,7.15625,7.203125,7.09375,7.109375,6.036933422088623,466400,7.4109375,7.282123709013876,0.11068645546697731,0.20023542669119104,-0.08954897122421374,55.609756097560975,-55.43545297958515,28.718238685207005
